"","Date","Forest","Tree","Species","DBHcm","Comments"
"185","4-Oct-17","South Hammond",110,"White oak","16.5",""
"186","11-Oct-17","South Hammond",115,"White oak","14",""
"187","11-Oct-17","South Hammond",120,"White oak","13.5",""
"188","4-Oct-17","South Hammond",138,"White oak","47.2",""
"189","4-Oct-17","South Hammond",139,"White oak","34.3",""
"190","4-Oct-17","South Hammond",142,"White oak","17.7",""
"191","4-Oct-17","South Hammond",144,"White oak","40.6",""
"192","4-Oct-17","South Hammond",146,"White oak","17.3",""
"193","4-Oct-17","South Hammond",151,"White oak","22.8",""
"194","4-Oct-17","South Hammond",82,"White pine","< 10",""
"195","4-Oct-17","South Hammond",84,"White pine","30",""
"196","4-Oct-17","South Hammond",90,"White pine","<10",""
"197","4-Oct-17","South Hammond",91,"White pine","<10",""
"198","4-Oct-17","South Hammond",93,"White pine","11",""
"199","4-Oct-17","South Hammond",94,"White pine","16",""
"200","4-Oct-17","South Hammond",95,"White pine","14.1",""
"201","4-Oct-17","South Hammond",97,"White pine","47.1",""
"202","11-Oct-17","South Hammond",116,"White pine","12",""
"203","11-Oct-17","South Hammond",130,"White pine","18.7",""
"204","11-Oct-17","South Hammond",131,"White pine","10.7",""
"205","4-Oct-17","South Hammond",136,"White pine","7.6",""
"206","4-Oct-17","South Hammond",140,"White pine","18.9",""
"207","4-Oct-17","South Hammond",143,"White pine","19",""
"208","4-Oct-17","South Hammond",148,"White pine","12.5",""
"209","4-Oct-17","South Hammond",149,"White pine","10.5",""
"210","4-Oct-17","South Hammond",152,"White pine","27.3",""
"211","4-Oct-17","South Hammond",155,"White pine","8.7","DEAD"
"212","1-Nov-17","Degrasse",156,"Red pine","42.7",""
"213","1-Nov-17","Degrasse",157,"White pine","13.1",""
"214","1-Nov-17","Degrasse",158,"Red pine","38",""
"215","1-Nov-17","Degrasse",159,"White pine","13.8",""
"216","1-Nov-17","Degrasse",160,"Red pine","38",""
"217","1-Nov-17","Degrasse",161,"Red pine","37.8",""
"218","1-Nov-17","Degrasse",162,"Red maple","17.1",""
"219","1-Nov-17","Degrasse",163,"Red pine","36.8",""
"220","1-Nov-17","Degrasse",164,"Red pine","33.2",""
"221","1-Nov-17","Degrasse",165,"Red pine","34.4",""
"222","1-Nov-17","Degrasse",166,"Red pine","38.9",""
"223","1-Nov-17","Degrasse",167,"Red pine","34",""
"224","1-Nov-17","Degrasse",168,"Red pine","36",""
"225","1-Nov-17","Degrasse",169,"Red pine","40.8",""
"226","1-Nov-17","Degrasse",170,"Red pine","34.5",""
"227","1-Nov-17","Degrasse",171,"Red pine","42",""
"228","1-Nov-17","Degrasse",172,"Red pine","40.2",""
"229","1-Nov-17","Degrasse",173,"Red pine","35.5",""
"230","1-Nov-17","Degrasse",174,"Red pine","39.5",""
"231","1-Nov-17","Degrasse",175,"White pine","26.8",""
"232","1-Nov-17","Degrasse",176,"Red pine","37.7",""
"233","1-Nov-17","Degrasse",177,"Red pine","46.2",""
"234","1-Nov-17","Degrasse",178,"Red pine","29.5",""
"235","1-Nov-17","Degrasse",179,"Red pine","39.7",""
"236","1-Nov-17","Degrasse",180,"Red pine","40.8",""
"237","1-Nov-17","Degrasse",181,"Red pine","35.9",""
"238","1-Nov-17","Degrasse",182,"Red pine","54.9",""
"239","1-Nov-17","Degrasse",183,"Red pine","22.1",""
"240","1-Nov-17","Degrasse",184,"Red pine","33",""
"241","1-Nov-17","Degrasse",185,"Red pine","34",""
"242","1-Nov-17","Degrasse",186,"Red pine","43",""
"243","1-Nov-17","Degrasse",187,"White pine","16",""
"244","1-Nov-17","Degrasse",188,"Red pine","36",""
"245","1-Nov-17","Degrasse",189,"Red pine","43",""
"246","1-Nov-17","Degrasse",190,"Red pine","28",""
"247","1-Nov-17","Degrasse",191,"White pine","25",""
"248","1-Nov-17","Degrasse",192,"Red pine","40.8",""
"249","1-Nov-17","Degrasse",193,"Red pine","42.1",""
"250","1-Nov-17","Degrasse",194,"Red spruce","16.6",""
"251","1-Nov-17","Degrasse",195,"Red pine","37.8",""
"252","1-Nov-17","Degrasse",196,"Red pine","36.8",""
"253","1-Nov-17","Degrasse",197,"Red pine","43.5",""
