Date,Forest,PlotNum,PlotID,Quadrant,Tree,Species,DBHcm,Xcoord,Ycoord,DistanceM,HtPercent,TreeHeightM,Comments
18-Oct-17,Peavine Swamp,2,8,Q2,190,Sugar maple,11.2,9,9,10,95,9.5,
18-Oct-17,Peavine Swamp,2,8,Q3,192,Sugar maple,36.2,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q3,193,Sugar maple,16.8,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q3,194,Sugar maple,40.8,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q3,195,Sugar maple,40.3,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q3,196,Sugar maple,38,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q4,197,Sugar maple,12.2,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q4,199,Sugar maple,63.9,,,,,,DEAD
18-Oct-17,Peavine Swamp,2,8,Q4,200,Sugar maple,28.7,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q1,203,Sugar maple,26.2,2,8,10,200,20,
25-Oct-17,Peavine Swamp,3,9,Q1,204,Sugar maple,42.5,3,9,10,195,19.5,
25-Oct-17,Peavine Swamp,3,9,Q1,205,Sugar maple,11.9,2,10,10,120,12,
25-Oct-17,Peavine Swamp,3,9,Q1,207,Sugar maple,35,7,9,10,185,18.5,
25-Oct-17,Peavine Swamp,3,9,Q1,209,Sugar maple,20.1,9,1,10,125,12.5,
25-Oct-17,Peavine Swamp,3,9,Q2,210,Sugar maple,10.5,4,1,10,105,10.5,
25-Oct-17,Peavine Swamp,3,9,Q2,211,Sugar maple,21.9,4,5,10,150,15,
25-Oct-17,Peavine Swamp,3,9,Q2,213,Sugar maple,16.6,7,7,10,120,12,
25-Oct-17,Peavine Swamp,3,9,Q4,216,Sugar maple,75.3,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,224,Sugar maple,27,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,225,Sugar maple,14,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,227,Sugar maple,10.9,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q2,212,Sugar maple?,41,5,6,10,95,9.5,DEAD
18-Oct-17,Peavine Swamp,2,8,Q3,191,Yellow birch,44.3,,,,,,DEAD
4-Oct-17,South Hammond,1,4,Q1,87,Black cherry,15.5,5,10,20,55,11,
11-Oct-17,South Hammond,3,6,Q1,117,Catscratch,10.5,3,9,10,85,8.5,
4-Oct-17,South Hammond,1,4,Q2,134,Catscratch,14.3,2.3,3,80,10,8,
4-Oct-17,South Hammond,1,4,Q2,135,Catscratch,12.3,4.5,0.5,91,10,9.1,
11-Oct-17,South Hammond,3,6,Q4,133,Choke cherry,21.4,,,,,,
4-Oct-17,South Hammond,1,4,Q2,137,Choke cherry,8,6,2.5,60,10,6,
4-Oct-17,South Hammond,1,4,Q3,141,Choke cherry,10.1,,,,,,
4-Oct-17,South Hammond,1,4,Q4,154,Choke cherry,16,,,,,,
4-Oct-17,South Hammond,1,4,,156,Choke cherry,15.5,,,,,,DEAD
4-Oct-17,South Hammond,2,5,Q1,99,Quaking aspen,34.2,1,9,10,81,8.1,
4-Oct-17,South Hammond,2,5,Q1,96,Red maple,10,4,4,10,90,9,
4-Oct-17,South Hammond,2,5,Q1,98,Red maple,13.3,4,9.6,10,80,8,
4-Oct-17,South Hammond,2,5,Q1,100,Red maple,31.9,8,10,10,85,8.5,
4-Oct-17,South Hammond,2,5,Q3,106,Red maple,43.5,,,,,,
4-Oct-17,South Hammond,1,4,Q1,86,Red oak,<10,,,,,4,
4-Oct-17,South Hammond,1,4,Q1,89,Red oak,30.5,6.5,5,20,95,,
4-Oct-17,South Hammond,2,5,Q2,102,Red oak,27.1,5.3,4,10,110,11,
4-Oct-17,South Hammond,2,5,Q2,103,Red oak,11.5,3.6,3.5,10,60,6,
4-Oct-17,South Hammond,2,5,Q2,104,Red oak,10.9,7,5,10,50,5,
4-Oct-17,South Hammond,2,5,Q2,105,Red oak,20,8.5,4.9,10,90,9,
4-Oct-17,South Hammond,2,5,Q3,107,Red oak,20,,,,,,
4-Oct-17,South Hammond,2,5,Q3,108,Red oak,13.4,,,,,,
4-Oct-17,South Hammond,2,5,Q3,109,Red oak,13.8,,,,,,
4-Oct-17,South Hammond,2,5,Q4,111,Red oak,17.5,,,,,,
4-Oct-17,South Hammond,2,5,Q4,112,Red oak,10.8,,,,,,
4-Oct-17,South Hammond,2,5,Q4,113,Red oak,11.5,,,,,,
4-Oct-17,South Hammond,2,5,Q4,114,Red oak,15.2,,,,,,
11-Oct-17,South Hammond,3,6,Q2,118,Red oak,36.5,0.5,5,10,200,20,
11-Oct-17,South Hammond,3,6,Q2,119,Red oak,19.8,4,4,10,200,20,
11-Oct-17,South Hammond,3,6,Q2,121,Red oak,16.2,7,5,10,180,18,
11-Oct-17,South Hammond,3,6,Q3,124,Red oak,16.3,,,,,,
11-Oct-17,South Hammond,3,6,Q3,125,Red oak,12.5,,,,,,
11-Oct-17,South Hammond,3,6,Q3,126,Red oak,11,,,,,,
11-Oct-17,South Hammond,3,6,Q3,128,Red oak,33.7,,,,,,
11-Oct-17,South Hammond,3,6,Q3,129,Red oak,37.1,,,,,,
11-Oct-17,South Hammond,3,6,Q4,132,Red oak,38.6,,,,,,
4-Oct-17,South Hammond,1,4,Q4,147,Red oak,25.4,,,,,,
4-Oct-17,South Hammond,1,4,Q4,150,Red oak,10,,,,,,
4-Oct-17,South Hammond,1,4,Q4,153,Red oak,27.3,,,,,,
11-Oct-17,South Hammond,3,6,Q3,123,Red pine,20.2,,,,,,
11-Oct-17,South Hammond,3,6,Q3,127,Red pine,10.5,,,,,,
4-Oct-17,South Hammond,1,4,Q1,85,Shagbark hickory,<10,,,,,4,
4-Oct-17,South Hammond,1,4,Q1,88,Shagbark hickory,<10,,,,,4,
4-Oct-17,South Hammond,1,4,Q3,145,Shagbark hickory,12.5,,,,,,
4-Oct-17,South Hammond,2,5,Q2,101,White ash,13.3,1.5,1,10,120,12,
11-Oct-17,South Hammond,3,6,Q3,122,White ash,23.9,,,,,,
4-Oct-17,South Hammond,1,4,,157,White ash,15.7,,,,,,DEAD
4-Oct-17,South Hammond,1,4,Q1,81,White oak,22,0,2,10,72,14.4,
4-Oct-17,South Hammond,1,4,Q1,83,White oak,11,2,3,10,80,8,
4-Oct-17,South Hammond,1,4,Q1,92,White oak,11,5.3,2,20,55,11,
4-Oct-17,South Hammond,2,5,Q3,110,White oak,16.5,,,,,,
11-Oct-17,South Hammond,3,6,Q1,115,White oak,14,3.8,3,10,150,15,
11-Oct-17,South Hammond,3,6,Q2,120,White oak,13.5,6,1,10,170,17,
4-Oct-17,South Hammond,1,4,Q2,138,White oak,47.2,5,5,130,10,13,
4-Oct-17,South Hammond,1,4,Q2,139,White oak,34.3,8,7.2,110,10,11,
4-Oct-17,South Hammond,1,4,Q3,142,White oak,17.7,,,,,,
4-Oct-17,South Hammond,1,4,Q3,144,White oak,40.6,,,,,,
4-Oct-17,South Hammond,1,4,Q3,146,White oak,17.3,,,,,,
4-Oct-17,South Hammond,1,4,Q4,151,White oak,22.8,,,,,,
4-Oct-17,South Hammond,1,4,Q1,82,White pine,< 10,,,,,4,
4-Oct-17,South Hammond,1,4,Q1,84,White pine,30,2.6,4.8,10,78,15.6,
4-Oct-17,South Hammond,1,4,Q1,90,White pine,<10,4,4,,,6,
4-Oct-17,South Hammond,1,4,Q1,91,White pine,<10,4,3,,,5,
4-Oct-17,South Hammond,1,4,Q1,93,White pine,11,6.5,2,20,45,9,
4-Oct-17,South Hammond,2,5,Q1,94,White pine,16,1,2,10,120,12,
4-Oct-17,South Hammond,2,5,Q1,95,White pine,14.1,1.5,3,10,110,11,
4-Oct-17,South Hammond,2,5,Q1,97,White pine,47.1,6.6,4.2,10,170,17,
11-Oct-17,South Hammond,3,6,Q1,116,White pine,12,7.7,6,10,65,6.5,
11-Oct-17,South Hammond,3,6,Q3,130,White pine,18.7,,,,,,
11-Oct-17,South Hammond,3,6,Q4,131,White pine,10.7,,,,,,
4-Oct-17,South Hammond,1,4,Q2,136,White pine,7.6,7,1,75,10,7.5,
4-Oct-17,South Hammond,1,4,Q2,140,White pine,18.9,9,1,80,10,8,
4-Oct-17,South Hammond,1,4,Q3,143,White pine,19,,,,,,
4-Oct-17,South Hammond,1,4,Q4,148,White pine,12.5,,,,,,
4-Oct-17,South Hammond,1,4,Q4,149,White pine,10.5,,,,,,
4-Oct-17,South Hammond,1,4,Q4,152,White pine,27.3,,,,,,
4-Oct-17,South Hammond,1,4,,155,White pine,8.7,,,,,,DEAD
1-Nov-17,Degrasse,1,10,Q1,156,Red pine,42.7,1,1,10,215,21.5,
1-Nov-17,Degrasse,1,10,Q1,157,White pine,13.1,8,2,10,90,9,
1-Nov-17,Degrasse,1,10,Q1,158,Red pine,38,5,5,10,205,20.5,
1-Nov-17,Degrasse,1,10,Q1,159,White pine,13.8,4,7,10,100,10,
1-Nov-17,Degrasse,1,10,Q2,160,Red pine,38,5,4,10,200,20,
1-Nov-17,Degrasse,1,10,Q2,161,Red pine,37.8,3,9,10,210,21,
1-Nov-17,Degrasse,1,10,Q3,162,Red maple,17.1,,,,,,
1-Nov-17,Degrasse,1,10,Q3,163,Red pine,36.8,,,,,,
1-Nov-17,Degrasse,1,10,Q3,164,Red pine,33.2,,,,,,
1-Nov-17,Degrasse,1,10,Q4,165,Red pine,34.4,,,,,,
1-Nov-17,Degrasse,1,10,Q4,166,Red pine,38.9,,,,,,
1-Nov-17,Degrasse,1,10,Q4,167,Red pine,34,,,,,,
1-Nov-17,Degrasse,1,10,Q4,168,Red pine,36,,,,,,
1-Nov-17,Degrasse,2,11,Q1,169,Red pine,40.8,2,1,10,180,18,
1-Nov-17,Degrasse,2,11,Q1,170,Red pine,34.5,4.1,4,10,190,19,
1-Nov-17,Degrasse,2,11,Q1,171,Red pine,42,0.1,8.5,10,200,20,
1-Nov-17,Degrasse,2,11,Q2,172,Red pine,40.2,1.5,10,10,190,19,
1-Nov-17,Degrasse,2,11,Q2,173,Red pine,35.5,1.5,3,10,210,21,
1-Nov-17,Degrasse,2,11,Q2,174,Red pine,39.5,5.4,3.9,10,170,17,
1-Nov-17,Degrasse,2,11,Q2,175,White pine,26.8,2.4,2.4,10,160,16,
1-Nov-17,Degrasse,2,11,Q2,176,Red pine,37.7,0.1,2.9,10,210,21,
1-Nov-17,Degrasse,2,11,Q2,177,Red pine,46.2,1,8.5,10,200,20,
1-Nov-17,Degrasse,2,11,Q3,178,Red pine,29.5,,,,,,
1-Nov-17,Degrasse,2,11,Q3,179,Red pine,39.7,,,,,,
1-Nov-17,Degrasse,2,11,Q3,180,Red pine,40.8,,,,,,
1-Nov-17,Degrasse,2,11,Q4,181,Red pine,35.9,,,,,,
1-Nov-17,Degrasse,2,11,Q4,182,Red pine,54.9,,,,,,
1-Nov-17,Degrasse,2,11,Q4,183,Red pine,22.1,,,,,,
1-Nov-17,Degrasse,3,12,Q1,184,Red pine,33,0.5,8.5,10,170,17,
1-Nov-17,Degrasse,3,12,Q1,185,Red pine,34,8,8,10,190,19,
1-Nov-17,Degrasse,3,12,Q1,186,Red pine,43,9,3,10,190,17,
1-Nov-17,Degrasse,3,12,Q1,187,White pine,16,9,3.5,10,110,11,
1-Nov-17,Degrasse,3,12,Q2,188,Red pine,36,1,1.5,10,175,17.5,
1-Nov-17,Degrasse,3,12,Q2,189,Red pine,43,5.5,4,10,160,16,
1-Nov-17,Degrasse,3,12,Q2,190,Red pine,28,3,5.5,10,180,18.5,
1-Nov-17,Degrasse,3,12,Q3,191,White pine,25,,,,,,
1-Nov-17,Degrasse,3,12,Q3,192,Red pine,40.8,,,,,,
1-Nov-17,Degrasse,3,12,Q3,193,Red pine,42.1,,,,,,
1-Nov-17,Degrasse,3,12,Q3,194,Red spruce,16.6,,,,,,
1-Nov-17,Degrasse,3,12,Q3,195,Red pine,37.8,,,,,,
1-Nov-17,Degrasse,3,12,Q4,196,Red pine,36.8,,,,,,
1-Nov-17,Degrasse,3,12,Q4,197,Red pine,43.5,,,,,,
